industry_code,year,growth_rate
41,2023,-0.007965413882174421
42,2023,0.047303576206777054
43,2023,0.06572917371472431
45,2023,0.11722704080433122
46,2023,-0.024471462091111396
47,2023,0.02489577695337397
49,2023,-0.010550797478000362
52,2023,0.03514012037604619
62,2023,0.03619237941595288
63,2023,0.13074949778838274
68,2023,-0.007811009844175487
69,2023,0.19652476166185617
70,2023,0.28145252617923
71,2023,-0.07641457061329271
72,2023,0.33877381468917633
77,2023,0.4333629642919763
78,2023,-0.03313604127339864
